place,lon,lat
Andaman and Nicobar Islands,92.78097500000008,12.472918209000056
Andhra Pradesh,94.66035907100007,28.03378170600007
Arunachal Pradesh,94.66035907100007,28.03378170600007
Assam,92.83014998300007,26.32614343200004
Bihar,85.48728000000007,25.151460000000053
Chandigarh,76.78943000000005,30.703410000000076
Chhattisgarh,82.04162085900003,21.265149263000072
Dadra and Nagar Haveli and Daman and Diu,73.04955000000007,20.280950000000075
Delhi,77.21689000000003,28.634100000000053
Goa,74.05421633500005,15.36257825000007
Gujarat,71.57702797000006,22.69541198300004
Haryana,76.34013613300004,29.196461252000066
Himachal Pradesh,77.25004824800006,31.92365627900005
Jammu and Kashmir,76.31064825900006,34.64385349200006
Jharkhand,85.55996219500008,23.65396590300003
Karnataka,76.17046947600005,14.705918575000055
Kerala,76.40890634900006,10.447255621000068
Ladakh,77.50000000000007,34.50000000000006
Madhya Pradesh,78.29754488400005,23.54300217400004
Maharashtra,73.01582000000008,19.03681000000006
Manipur,93.88394228400006,24.731636637000065
Meghalaya,91.27961257200009,25.536524147000023
Mizoram,92.82891654100008,23.307804220000037
Nagaland,94.47204725100003,26.059339096000038
Odisha,85.00127000000003,20.926660000000027
Puducherry,79.82470000000006,11.92993000000007
Punjab,75.41747860200006,30.843241196000065
Rajasthan,73.84574452500004,26.58650208200004
Sikkim,88.47595861700006,27.571226435000032
Tamil Nadu,78.40968946100008,11.013249812000025
Telangana,79.01145968100008,17.805271101000077
Tripura,91.74011046300006,23.74652194700008
Uttar Pradesh,80.56369176000005,26.928766610000025
Uttarakhand,79.20756426000008,30.15483759900007
West Bengal,87.98640559100004,23.797759550000023
