N,E,territory
27.0238° N, 74.2179° E, Rajasthan
10.8505° N, 76.2711° E, Kerala
15.2993° N, 74.1240° E, Goa
33.7782° N, 76.5762° E, Jammu and Kashmir
15.3173° N, 75.7139° E, Karnataka
19.7515° N, 75.7139° E, Maharashtra
22.2587° N, 71.1924° E, Gujarat
26.8467° N, 80.9462° E, Uttar Pradesh
29.0588° N, 76.0856° E, Haryana
25.0961° N, 85.3131° E, Bihar
22.9734° N, 78.6569° E, Madhya Pradesh
23.6102° N, 85.2799° E, Jharkhand
11.1271° N, 78.6569° E, Tamil Nadu
31.1471° N, 75.3412° E, Punjab
15.9129° N, 79.7400° E, Andhra Pradesh
21.2787° N, 81.8661° E, Chhattisgarh
18.1124° N, 79.0193° E, Telangana
26.2006° N, 92.9376° E, Assam
20.9517° N, 85.0985° E, Odisha
22.9868° N, 87.8550° E, West Bengal
31.1048° N, 77.1734° E, Himachal Pradesh
26.1584° N, 94.5624° E, Nagaland
27.5330° N, 88.5122° E, Sikkim
24.6637° N, 93.9063° E, Manipur
23.9408° N, 91.9882° E, Tripura
25.4670° N, 91.3662° E, Meghalaya
28.2180° N, 94.7278° E, Arunachal Pradesh
23.1645° N, 92.9376° E, Mizoram
30.0668° N, 79.0193° E, Uttarakhand
34.1700° N, 77.5800° E, Ladakh
11.7401° N, 92.6586° E, Andaman and Nicobar Islands
